r,M₁₁,M₂₂,M₃₃
0.025,0.007406740476540503,0.9722887840111624,0.9722885575082221
0.05,0.022379286427011917,0.9465019612346511,0.9464744902161303
0.075,0.04145255539478103,0.9153462108321312,0.9153331552075298
0.1,0.06345752589008619,0.8813668857658098,0.8813096727464805
0.125,0.08693102309186193,0.8475604906487496,0.8475263586687068
0.15,0.11206512298996686,0.8162791239336065,0.8162948513780579
0.175,0.1382545216565152,0.7843561047701691,0.7844443518457198
0.2,0.16520127000700016,0.7526028094616118,0.7526372798882454
0.225,0.1920604427573434,0.7254016648366203,0.725471700267226
0.25,0.22001359740486956,0.6989263679036883,0.6989422589888239
0.275,0.24754955851918195,0.6758332229647555,0.675927563925958
0.3,0.2755787800798666,0.6530304257699462,0.6530047815819764
0.325,0.3035171153002868,0.6305644441843186,0.6306117287691482
0.35,0.33160535018787324,0.6093510770134547,0.6093376320187396
0.375,0.36004280308612824,0.5892815543657962,0.5895146140156514
0.4,0.3882132919751204,0.570423909282195,0.5705625097219381
0.425,0.41680614230613977,0.5523377734726701,0.5523532416299369
0.45,0.4454211647765569,0.5355153613594836,0.5354445943692814
0.475,0.4740983265808682,0.5195629433361613,0.5196072718054985
0.5,0.5031861823750229,0.5041798989201521,0.5043011094800466
0.525,0.5319857286425183,0.49002882601264836,0.4900301341212083
0.55,0.5609931670411354,0.47658119317677333,0.47656352080836667
0.575,0.5904276707223008,0.4632865178416119,0.4633197498266769
0.6,0.6195759862248529,0.45122450217332016,0.45124917003195736
0.625,0.6484825156984081,0.439828787483778,0.4398321412443419
0.65,0.6785084643971073,0.42833220764230245,0.42832555550654017
0.675,0.7076450532448146,0.4179912670289095,0.41799421966413786
0.7,0.7368182641685662,0.40815582803018946,0.4081412441280362
0.725,0.7670129098116988,0.39805281447320384,0.3980316288977898
0.75,0.7963156359982465,0.38917822240691946,0.38916311648160606
